N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2392,1,z:ilp,nat-oop,5725,7970,23.448,1.392,1.618e-15,chain3,0
2392,1,z:ilp,nat-oop,5688,7956,23.600,1.399,1.618e-15,chain3,1
2393,1,z:ilp,nat-oop,14437,24609,9.302,1.705,2.012e-15,prime,0
2393,1,z:ilp,nat-oop,14523,24550,9.247,1.690,2.012e-15,prime,1
2394,1,z:ilp,nat-oop,5688,7010,23.623,1.232,1.273e-15,chain3,0
2394,1,z:ilp,nat-oop,5417,7021,24.806,1.296,1.273e-15,chain3,1
2395,1,z:ilp,nat-oop,22688,24569,5.925,1.083,8.243e-16,prime,0
2395,1,z:ilp,nat-oop,28435,24509,4.728,0.862,8.243e-16,prime,1
2396,1,z:ilp,nat-oop,22626,24480,5.944,1.082,7.114e-16,prime,0
2396,1,z:ilp,nat-oop,22626,24516,5.944,1.084,7.114e-16,prime,1
2397,1,z:ilp,nat-oop,11514,21531,11.687,1.870,2.588e-15,flat,0
2397,1,z:ilp,nat-oop,11800,21524,11.403,1.824,2.588e-15,flat,1
2398,1,z:ilp,nat-oop,22824,39729,5.898,1.741,6.757e-16,prime,0
2398,1,z:ilp,nat-oop,22217,39775,6.059,1.790,6.757e-16,prime,1
2399,1,z:ilp,nat-oop,23275,24531,5.787,1.054,8.334e-16,prime,0
2399,1,z:ilp,nat-oop,22257,24560,6.051,1.104,8.334e-16,prime,1
2400,1,z:ilp,nat-oop,2477,4032,54.400,1.628,5.048e-16,ztt,0
2400,1,z:ilp,nat-oop,2566,4038,52.522,1.574,5.048e-16,ztt,1
2401,1,z:ilp,nat-oop,4631,4071,29.112,0.879,7.467e-16,flat,0
2401,1,z:ilp,nat-oop,4655,4135,28.958,0.888,7.467e-16,flat,1
2402,1,z:ilp,nat-oop,22859,24585,5.900,1.076,8.529e-16,prime,0
2402,1,z:ilp,nat-oop,22276,24643,6.054,1.106,8.529e-16,prime,1
2403,1,z:ilp,nat-oop,22819,42334,5.913,1.855,8.120e-16,prime,0
2403,1,z:ilp,nat-oop,22423,42292,6.018,1.886,8.120e-16,prime,1
2404,1,z:ilp,nat-oop,22930,24487,5.887,1.068,1.018e-15,prime,0
2404,1,z:ilp,nat-oop,29403,24533,4.591,0.834,1.018e-15,prime,1
2405,1,z:ilp,nat-oop,8760,14121,15.418,1.612,2.418e-15,chain3,0
2405,1,z:ilp,nat-oop,11634,14073,11.610,1.210,2.418e-15,chain3,1
