library,N,l2_error,max_error,rt_error
MKL,2196,2.869e-16,3.015e-16,9.497e-16
VectorFFT,2197,7.931e-16,9.051e-16,2.834e-15
MKL,2197,3.043e-16,3.181e-16,9.442e-16
VectorFFT,2198,5.715e-16,6.903e-16,1.314e-15
MKL,2198,4.668e-16,4.949e-16,1.531e-15
VectorFFT,2199,5.478e-16,6.055e-16,1.426e-15
MKL,2199,4.706e-16,5.448e-16,1.568e-15
VectorFFT,2200,5.215e-16,6.723e-16,1.433e-15
MKL,2200,2.654e-16,2.485e-16,8.466e-16
VectorFFT,2201,5.644e-16,7.749e-16,1.317e-15
MKL,2201,3.322e-16,3.470e-16,1.089e-15
VectorFFT,2202,5.696e-16,6.175e-16,1.349e-15
MKL,2202,4.756e-16,5.665e-16,1.579e-15
VectorFFT,2203,5.794e-16,7.441e-16,1.393e-15
MKL,2203,4.865e-16,4.886e-16,1.411e-15
VectorFFT,2204,7.118e-16,1.139e-15,3.184e-15
MKL,2204,2.788e-16,3.189e-16,8.925e-16
VectorFFT,2205,4.840e-16,5.278e-16,1.108e-15
MKL,2205,3.233e-16,3.014e-16,1.276e-15
VectorFFT,2206,5.524e-16,6.839e-16,1.374e-15
MKL,2206,4.671e-16,3.906e-16,1.482e-15
VectorFFT,2207,5.543e-16,5.419e-16,1.291e-15
MKL,2207,4.660e-16,4.262e-16,1.374e-15
VectorFFT,2208,5.118e-16,5.737e-16,1.320e-15
MKL,2208,2.454e-16,2.535e-16,8.778e-16
VectorFFT,2209,1.203e-15,2.391e-15,4.287e-15
MKL,2209,4.092e-16,4.545e-16,1.306e-15
VectorFFT,2210,5.852e-16,5.658e-16,1.449e-15
MKL,2210,2.894e-16,2.277e-16,9.064e-16
VectorFFT,2211,5.445e-16,6.477e-16,1.282e-15
MKL,2211,3.664e-16,4.430e-16,1.228e-15
VectorFFT,2212,5.475e-16,6.266e-16,1.147e-15
MKL,2212,2.988e-16,4.009e-16,9.518e-16
VectorFFT,2213,5.651e-16,7.319e-16,1.457e-15
MKL,2213,4.737e-16,4.449e-16,1.544e-15
VectorFFT,2214,5.188e-16,6.560e-16,1.311e-15
MKL,2214,2.878e-16,3.153e-16,9.054e-16
VectorFFT,2215,5.663e-16,5.663e-16,1.388e-15
MKL,2215,4.771e-16,4.413e-16,1.718e-15
VectorFFT,2216,5.687e-16,7.774e-16,1.469e-15
MKL,2216,4.695e-16,5.321e-16,1.479e-15
VectorFFT,2217,5.610e-16,7.673e-16,1.421e-15
MKL,2217,4.684e-16,5.167e-16,1.580e-15
VectorFFT,2218,5.583e-16,6.547e-16,1.446e-15
MKL,2218,4.665e-16,4.409e-16,1.451e-15
VectorFFT,2219,5.560e-16,6.560e-16,1.342e-15
MKL,2219,4.925e-16,4.136e-16,1.513e-15
VectorFFT,2220,4.993e-16,5.453e-16,1.487e-15
MKL,2220,2.780e-16,3.011e-16,8.896e-16
VectorFFT,2221,8.489e-16,9.374e-16,2.278e-15
MKL,2221,4.780e-16,5.872e-16,1.566e-15
VectorFFT,2222,5.351e-16,6.406e-16,1.176e-15
MKL,2222,3.209e-16,5.125e-16,1.231e-15
VectorFFT,2223,8.013e-16,1.037e-15,3.097e-15
MKL,2223,4.490e-16,4.763e-16,1.313e-15
VectorFFT,2224,5.527e-16,6.870e-16,1.554e-15
MKL,2224,3.311e-16,4.801e-16,1.126e-15
VectorFFT,2225,5.700e-16,8.359e-16,1.360e-15
