timestamp,N,K,wis_factors,wis_ns,heur_factors,heur_ns,fftw_ns,wis_speedup,heur_speedup
2026-04-05_00:47:03,10000,1024,2x2x2x2x5x5x25,63145050.0,,,401452680.0,75918670.0,6.36,1.20
2026-04-05_00:47:03,20000,32,2x20x20x25,2235745.0,,,9044010.0,3234970.0,4.05,1.45
2026-04-05_00:47:03,20000,256,2x4x4x5x5x25,29342435.0,,,140029390.0,31757400.0,4.77,1.08
2026-04-05_00:47:03,50000,32,4x20x25x25,6146505.0,,,33592875.0,8774065.0,5.47,1.43
2026-04-05_00:47:03,50000,256,4x4x5x5x5x25,65905930.0,,,916477865.0,89234300.0,13.91,1.35
2026-04-05_00:47:03,49,32,7x7,737.0,,,3392.2,3014.0,4.60,4.09
2026-04-05_00:47:03,49,256,7x7,7015.2,,,27816.5,28722.8,3.97,4.09
2026-04-05_00:47:03,143,32,11x13,4923.9,,,11584.9,11902.3,2.35,2.42
2026-04-05_00:47:03,143,256,13x11,39414.8,,,89629.6,99596.3,2.27,2.53
2026-04-05_00:47:03,875,32,7x5x5x5,27337.1,,,84142.9,78502.9,3.08,2.87
2026-04-05_00:47:03,875,256,5x5x7x5,357380.0,,,1087960.0,774060.0,3.04,2.17
2026-04-05_00:47:03,2401,32,7x7x7x7,106285.0,,,330260.0,253135.0,3.11,2.38
2026-04-05_00:47:03,2401,256,7x7x7x7,1186255.0,,,4856780.0,2513435.0,4.09,2.12
2026-04-05_00:47:03,8000,256,4x4x4x5x25,7281660.0,,,19505400.0,9172675.0,2.68,1.26
2026-04-05_00:47:03,12000,256,2x3x4x4x5x25,13523405.0,,,73964970.0,16978500.0,5.47,1.26
2026-04-05_00:47:03,25000,256,2x4x5x5x5x25,31533305.0,,,172219380.0,41261320.0,5.46,1.31
2026-04-05_00:47:03,40000,256,4x4x4x5x5x25,52519570.0,,,670077275.0,76591110.0,12.76,1.46
