N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
158,1,z:ilp,nat-ip,962,1595,5.999,1.659,5.690e-16,prime,1
159,1,z:ilp,nat-ip,963,1319,6.038,1.370,4.630e-16,prime,0
159,1,z:ilp,nat-ip,964,1319,6.028,1.368,4.630e-16,prime,1
160,1,z:ilp,nat-ip,94,162,62.254,1.725,2.213e-16,2p,0
160,1,z:ilp,nat-ip,94,163,62.607,1.738,2.213e-16,2p,1
161,1,z:ilp,nat-ip,233,469,25.346,2.016,1.234e-15,2p,0
161,1,z:ilp,nat-ip,237,471,24.939,1.992,1.234e-15,2p,1
162,1,z:ilp,nat-ip,126,188,47.313,1.493,4.248e-16,2p,0
162,1,z:ilp,nat-ip,126,188,47.191,1.491,4.248e-16,2p,1
163,1,z:ilp,nat-ip,471,1240,12.725,2.634,9.880e-16,prime,0
163,1,z:ilp,nat-ip,469,1242,12.777,2.650,9.880e-16,prime,1
164,1,z:ilp,nat-ip,999,729,6.041,0.730,6.477e-16,prime,0
164,1,z:ilp,nat-ip,1025,729,5.887,0.711,6.477e-16,prime,1
165,1,z:ilp,nat-ip,145,185,41.798,1.271,6.682e-16,2p,0
165,1,z:ilp,nat-ip,145,185,41.937,1.274,6.682e-16,2p,1
166,1,z:ilp,nat-ip,953,1775,6.422,1.862,9.708e-16,prime,0
166,1,z:ilp,nat-ip,962,1776,6.364,1.847,9.708e-16,prime,1
167,1,z:ilp,nat-ip,987,1249,6.248,1.266,8.716e-16,prime,0
167,1,z:ilp,nat-ip,988,1247,6.240,1.262,8.716e-16,prime,1
168,1,z:ilp,nat-ip,128,105,48.434,0.822,3.671e-16,chain3,0
168,1,z:ilp,nat-ip,128,106,48.392,0.827,3.671e-16,chain3,1
169,1,z:ilp,nat-ip,172,190,36.397,1.103,1.538e-15,2p,0
169,1,z:ilp,nat-ip,172,187,36.453,1.092,1.538e-15,2p,1
170,1,z:ilp,nat-ip,172,368,36.561,2.139,1.025e-15,2p,0
170,1,z:ilp,nat-ip,173,369,36.385,2.132,1.025e-15,2p,1
171,1,z:ilp,nat-ip,189,443,33.491,2.340,9.799e-16,2p,0
171,1,z:ilp,nat-ip,189,439,33.473,2.317,9.799e-16,2p,1
172,1,z:ilp,nat-ip,1015,799,6.293,0.787,6.930e-16,prime,0
172,1,z:ilp,nat-ip,980,799,6.519,0.816,6.930e-16,prime,1
