N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip,engaged
108,1,z:ilp,nat-oop,77,120,47.308,1.554,7.447e-16,2p,1,0
109,1,z:ilp,nat-oop,263,565,14.023,2.149,1.015e-15,prime,1,0
110,1,z:ilp,nat-oop,82,129,45.426,1.568,5.739e-16,2p,1,0
111,1,z:ilp,nat-oop,452,563,8.349,1.246,6.436e-16,prime,1,0
112,1,z:ilp,nat-oop,70,94,54.315,1.334,3.857e-16,2p,1,0
113,1,z:ilp,nat-oop,268,568,14.359,2.117,8.435e-16,prime,1,0
114,1,z:ilp,nat-oop,110,245,35.400,2.225,7.745e-16,2p,1,0
115,1,z:ilp,nat-oop,145,336,27.129,2.318,1.682e-15,2p,1,0
116,1,z:ilp,nat-oop,451,363,8.812,0.805,1.213e-15,prime,1,0
117,1,z:ilp,nat-oop,101,137,39.760,1.356,8.841e-16,2p,1,0
118,1,z:ilp,nat-oop,452,831,8.990,1.840,5.646e-16,prime,1,0
119,1,z:ilp,nat-oop,128,273,32.055,2.136,8.944e-16,2p,1,0
120,1,z:ilp,nat-oop,78,125,53.457,1.607,5.599e-16,2p,1,0
121,1,z:ilp,nat-oop,108,122,38.733,1.128,8.133e-16,2p,1,0
122,1,z:ilp,nat-oop,460,909,9.199,1.978,7.599e-16,prime,1,0
123,1,z:ilp,nat-oop,455,726,9.378,1.594,8.484e-16,prime,1,0
124,1,z:ilp,nat-oop,458,406,9.411,0.887,8.008e-16,prime,1,0
125,1,z:ilp,nat-oop,101,132,43.123,1.308,4.847e-16,2p,1,0
126,1,z:ilp,nat-oop,95,135,46.248,1.424,3.110e-16,2p,1,0
127,1,z:ilp,nat-oop,400,579,11.098,1.449,1.308e-15,prime,1,0
128,1,z:ilp,nat-oop,66,68,67.726,1.035,4.284e-16,2p,1,0
129,1,z:ilp,nat-oop,952,805,4.752,0.846,5.977e-16,prime,1,0
130,1,z:ilp,nat-oop,104,155,43.930,1.496,6.566e-16,2p,1,0
131,1,z:ilp,nat-oop,421,952,10.952,2.262,9.925e-16,prime,1,0
132,1,z:ilp,nat-oop,103,145,45.055,1.401,8.247e-16,2p,1,0
133,1,z:ilp,nat-oop,190,323,24.738,1.703,1.190e-15,2p,1,0
134,1,z:ilp,nat-oop,935,1132,5.065,1.211,7.686e-16,prime,1,0
135,1,z:ilp,nat-oop,107,155,44.447,1.444,6.768e-16,2p,1,0
136,1,z:ilp,nat-oop,132,273,36.521,2.072,1.026e-15,2p,1,0
137,1,z:ilp,nat-oop,424,957,11.480,2.259,1.316e-15,prime,1,0
138,1,z:ilp,nat-oop,187,347,26.163,1.852,1.763e-15,2p,1,0
139,1,z:ilp,nat-oop,528,958,9.377,1.816,1.846e-15,prime,1,0
140,1,z:ilp,nat-oop,109,144,45.982,1.325,4.089e-16,chain3,1,0
141,1,z:ilp,nat-oop,956,983,5.266,1.028,6.695e-16,prime,1,0
142,1,z:ilp,nat-oop,971,1265,5.228,1.302,8.480e-16,prime,1,0
143,1,z:ilp,nat-oop,138,148,37.001,1.069,9.536e-16,2p,1,0
144,1,z:ilp,nat-oop,106,142,48.667,1.334,5.397e-16,chain3,1,0
145,1,z:ilp,nat-oop,961,554,5.419,0.577,6.818e-16,prime,1,0
146,1,z:ilp,nat-oop,957,1361,5.485,1.423,9.531e-16,prime,1,0
147,1,z:ilp,nat-oop,131,158,40.549,1.212,4.851e-16,chain3,1,0
